test_id,source_group,kind,default_stage,applicability_decision,reason,status,evidence_path
GEN-001,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-002,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-003,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-004,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-005,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-006,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-007,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-008,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-009,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-010,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-011,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-012,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-013,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-014,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-015,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-016,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-017,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-018,General,atomic-security,19-EXTERNAL-HUMAN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-019,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-020,General,atomic-security,19-EXTERNAL-HUMAN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-021,General,atomic-security,19-EXTERNAL-HUMAN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-022,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-023,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-024,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-025,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-026,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-027,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-028,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-029,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-030,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-031,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-032,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-033,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-034,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-035,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-036,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-037,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-038,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-039,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-040,General,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-041,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-042,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-043,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-044,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-045,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-046,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-047,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-048,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-049,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-050,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-051,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-052,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-053,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-054,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-055,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-056,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-057,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
